id,supplement,category,name,ruby,type,skill,atk,atk_int,initiative,initiative_int,armor,armor_int,dash,dash_int,procure,procure_int,stock,stock_int,exp,exp_int,rec,flavor,effect,price,rec_effect,ref_faq_id,ref_info_id,update,other_ver_id,rel_power_id,rel_weapon_id,rel_armor_id,rel_vehicle_id,rel_connection_id,rel_general_id,rel_dlois_id,cost_order
IA-歩兵戦闘車,IA,ジェネラルアイテム,歩兵戦闘車,ホヘイセントウシャ,ヴィークル,〈運転:四輪〉,10,10,−6,,12,12,75m,75,45,45,28,28,,,,兵員を輸送するための装甲車両。履帯式と装輪式の両方が存在するが、日本で使われているものの多くは道路事情もあって装輪式。UGNのものは警備会社のものに擬装していることが多い。,レアアイテム。,,,,,,NC-歩兵戦闘車,,,,,,,,28
IA-潜水艇,IA,ジェネラルアイテム,潜水艇,センスイテイ,ヴィークル,〈運転:船舶〉,5,5,−10,,10,10,80m,80,50,50,33,33,,,,水中活動が可能な民間用の潜水艇。,水中でのみ使用できる。あなたと同乗者は水中でのペナルティを受けない。レアアイテム。,,,,,,IC-潜水艇,,,,,,,,33
IA-宇宙船,IA,ジェネラルアイテム,宇宙船,ウチュウセン,ヴィークル,〈運転:宇宙船〉,10,10,−8,,15,15,400m,400,67,67,42,42,,,,大気圏突入能力を備えた小型の宇宙船。,宇宙空間でのみ使用できる。あなたと同乗者は宇宙空間でのペナルティを受けない。レアアイテム。,,,,,,IC-宇宙船,,,,,,,,42
IA-スカットラー,IA,ユニークアイテム,スカットラー,スカットラー,ヴィークル,〈運転:四輪〉,6,6,0,0,4,4,100m,100,,,,,15,15,,軽快な乗り心地のコンバーチブルカー。裏道などで非常に小回りがきく。,あなたが行なう〈運転:四輪〉判定のダイスに+3個する。ただし、攻撃の判定には適用されない。,,,,,,,,,,,,,,15
IA-対オーヴァード装甲車,IA,ユニークアイテム,対オーヴァード装甲車,タイオーウァートソウコウシャ,ヴィークル,〈運転:四輪〉,8,8,−6,,8,8,200m,200,,,,,15,15,,UGN、米軍、ストレンジャーズ、特調などで広く用いられている六輪装甲車。レネゲイドの侵蝕を防ぐ特殊素材で装甲されている。“魔街”と呼ばれる場所で試験運用されていたともされるが、定かではない。,あなたがエフェクトを使用した攻撃から受けるダメージに−10する。,,,,,,NC-対オーヴァード装甲車,,,,,,,,15
IA-ターボスター,IA,ユニークアイテム,ターボスター,ターホスター,ヴィークル,〈運転:二輪〉,8,8,0,0,1,1,250m,250,,,,,30,30,,UGNで試作された電動バイク。モーター駆動特有のすさまじい初速と、極めてピーキーなコーナリング性能を併せ持つ。,セットアッププロセスで使用する。そのラウンドの間、あなたの【行動値】に+10する。この効果は1シナリオに1回まで使用できる。,,,,,,NC-ターボスター,,,,,,,,30
IA-パワードホイール,IA,ユニークアイテム,パワードホイール,ハワートホイール,ヴィークル,〈運転:二輪〉,12,12,−5,,7,7,150m,150,,,,,35,35,,体当たり用のスパイクや強化装甲のカウルがマウントされた近接戦闘用力スタムバイク。,このヴィークルを使用した攻撃の判定のダイスに+2個する。,,,,,,,,,,,,,,35
IA-エキゾチックカー,IA,ユニークアイテム,エキゾチックカー,エキソチックカー,ヴィークル,〈運転:四輪〉,13,13,−3,,6,6,200m,200,,,,,40,40,,見る者をゾクゾクとさせる美しいフォルムと、他を寄せつけない圧倒的なエンジン出力を誇る“走る芸術品”。各社からさまざまな種類のエキゾチックカーが発表されている。代表はスーパーカー。,,,,,,,上級-エキゾチックカー,,,,,,,,40
IA-戦闘ヘリ,IA,ユニークアイテム,戦闘ヘリ,セントウヘリ,ヴィークル,〈運転:航空機〉,5,5,−3,,18,18,200m,200,,,,,50,50,,機関砲を搭載した軍用ヘリ。各国の軍隊や傭兵組織で使用されている。,このヴィークルの搭乗時に、あなたは自動的に“チェーンガン”を装備する。これはあなたが所持していなくてもよい。また、あなたと同乗者は飛行状態となる。,,,,,,上級-戦闘ヘリ,,IA-チェーンガン,,,,,,50
IA-ファントムダンサー,IA,ユニークアイテム,ファントムダンサー,ファントムタンサー,ヴィークル,〈運転:四輪〉,12,12,−1,,8,8,300m,300,,,,,50,50,,戦闘用のギミックを内蔵したハイテクスーパーカー。内蔵ジェットによって曲芸のような立体走行が可能。,あなたが行なう攻撃の判定かドッジの判定のダイス目ひとつに+2する(最大10)。この効果は判定を行なっている最中にも使用でき、1回の判定に1回まで使用できる。この効果は1シナリオに1回まで使用できる。,,,,,,,,,,,,,,50
IA-ロードビースト,IA,ユニークアイテム,ロードビースト,ロートヒースト,ヴィークル,〈運転:二輪〉,15,15,−2,,2,2,200m,200,,,,,60,60,,「野獣」の名を冠したEXレネゲイドのバイク。その荒々しい乗り心地は普通の人間には制御不能といわれている。,あなたが行なう攻撃のダメージに+3Dする。ただし、この効果を受けるたび、あなたはHPを1D点失う。,,,,,,,,,,,,,,60
IA-リニアヴィークル,IA,ユニークアイテム:ブラックドッグ,リニアヴィークル,リニアウィークル,ヴィークル,〈RC〉〈運転:四輪〉,10,10,−2,,3,3,250m,250,,,,,15,15,,ブラックドッグの能力で発生した電力で稼動するリニアモーターが組み込まれた乗り物。搭乗者の思考を電子信号に変換して操縦できる。,あなたが行なう戦闘移動に+5mする。,,,109,,,IC-リニアヴィークル,,,,,,,,15
IA-絆の愛馬,IA,ユニークアイテム:オルクス,絆の愛馬,キスナノアイハ,ヴィークル,〈運転:馬〉,4,4,−1,,—,0,100m,100,,,,,20,20,,EXレネゲイドに感染し、オルクスシンドロームの持ち主との感応性を極限まで高めたオーヴァードホース。,あなたが行なうオルクスのエフェクトを組み合わせた判定のダイスに+2個する。,,,,,,上級-絆の愛馬,,,,,,,,20
IA-モーフィングバイク,IA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングバイク,モーフィンクハイク,ヴィークル,〈運転:二輪〉,8,8,0,0,—,0,250m,250,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出した二輪車。細かい外見は作成者の思いのままである。,,,,,,,基本2-モーフィングバイク EA-モーフィングバイク,EA-ヴィークルモーフィング,,,,,,,999
IA-モーフィングカー,IA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングカー,モーフィンクカー,ヴィークル,〈運転:四輪〉,10,10,−2,,8,8,100m,100,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出した乗用車。細かい外見は作成者の思いのままである。,,,,,,,基本2-モーフィングカー EA-モーフィングカー,EA-ヴィークルモーフィング,,,,,,,999
IA-モーフィングヘリ,IA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングヘリ,モーフィンクヘリ,ヴィークル,〈運転:航空機〉,7,7,0,0,—,0,100m,100,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出したヘリコプター。細かい外見は作成者の思いのままである。,あなたと同乗者は飛行状態となる。,,,,,,基本2-モーフィングヘリ EA-モーフィングヘリ,EA-ヴィークルモーフィング,,,,,,,999
IA-モーフィングボート,IA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングボート,モーフィンクホート,ヴィークル,〈運転:船舶〉,9,9,0,0,—,0,150m,150,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出したモーターボート。細かい外見は作成者の思いのままである。,水上でのみ使用できる。,,,,,,基本2-モーフィングボート EA-モーフィングボート,EA-ヴィークルモーフィング,,,,,,,999
IA-モーフィングバイクII,IA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングバイクII,モーフィングバイクII,ヴィークル,〈運転:二輪〉,11,11,0,0,—,0,300m,300,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出した、高性能の二輪車。細かい外見は作成者の思いのままである。,あなたの《ヴィークルモーフィング》が3レベル以上の時のみ作成できる。,,,,,,基本2-モーフィングバイクII EA-モーフィングバイクII,EA-ヴィークルモーフィング,,,,,,,999
IA-モーフィングカーII,IA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングカーII,モーフィングカーII,ヴィークル,〈運転:四輪〉,12,12,−2,,12,12,150m,150,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出した高性能の乗用車。細かい外見は作成者の思いのままである。,あなたの《ヴィークルモーフィング》が3レベル以上の時のみ作成できる。,,,,,,基本2-モーフィングカーII EA-モーフィングカーII,EA-ヴィークルモーフィング,,,,,,,999
IA-モーフィングヘリII,IA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングヘリII,モーフィングヘリII,ヴィークル,〈運転:航空機〉,9,9,0,0,—,0,150m,150,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出した高性能のヘリコプター。細かい外見は作成者の思いのままである。,《ヴィークルモーフィング》が3レベル以上の時のみ作成できる。あなたと同乗者は飛行状態となる。,,,,,,EA-モーフィングヘリII,EA-ヴィークルモーフィング,,,,,,,999
IA-モーフィングロボ,IA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングロボ,モーフィンクロホ,ヴィークル,解説参照,15,15,−3,,18,18,50m,50,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出したロボット。二足、キャタピラなど細かい外見は作成者の思いのままである。,《ヴィークルモーフィング》が5レベル以上の時のみ作成できる。このヴィークルの「技能:〈運転〉」の分野についてはあなたが作成時に決定すること。,,,,,,基本2-モーフィングロボ EA-モーフィングロボ,EA-ヴィークルモーフィング,,,,,,,999
IA-ストライクモービル,IA,秘密兵器専用アイテム,ストライクモービル,ストライクモーヒル,ヴィークル,〈運転:~~〉,10,10,−1,,13,13,350m,350,,,,,20,20,,戦闘用に適したヴィークルマシン。,〈運転:~~〉のカテゴリーは取得時に決定すること。あなたが行なう攻撃の判定のダイスに+4個する。,,,,,,RW-ストライクモービル,,,,,,,LM-秘密兵器,20
IA-フォールンヴィークル,IA,秘密兵器専用アイテム,フォールンヴィークル,フォールンウィークル,ヴィークル,〈運転:~~〉,13,13,−3,,13,13,300m,300,,,,,20,20,,EXレネゲイドに感染したヴィークル。,取得時にこのヴィークルの技能判定の〈運転:~~〉の分野を決定する。あなたが行なう判定のダイスに+1個する。,,,,,,上級-フォールンヴィークル LM-フォールンヴィークル,,,,,,,LM-秘密兵器,20
IA-フォールンマシン,IA,秘密兵器専用アイテム,フォールンマシン,フォールンマシン,ヴィークル,〈運転:多脚戦車〉,17,17,−3,,15,15,150m,150,,,,,20,20,,全長3メートル程度の人型ロボ。EXレネゲイドによって完成したオンリーワンな機体。,あなたは“両手持ち”とある武器を最大4個まで装備できる。,,,,,,HR-フォールンマシン,,,,,,,LM-秘密兵器,20
IA-バトルトレーラー,IA,秘密兵器専用アイテム,バトルトレーラー,ハトルトレーラー,ヴィークル,〈運転:四輪〉〈運転:多脚戦車〉,12/20,20,−4,,14/20,20,100m,100,,,,,100,100,,普段は巨大なヴィークルだが、命令とともに変形して人型ロボになるEXレネゲイド。,マイナーアクションで使用する。そのシーンの間、攻撃力、装甲値は/の右側となる。また、その間、このヴィークルの体当たりによる攻撃の判定を〈白兵〉で使用できる。このアイテムは経験点の消費のみで取得できる。,,,,,,RW-バトルトレーラー,,,,,,,LM-秘密兵器,100
IA-チャリオットバラー,IA,遺産継承者専用アイテム,チャリオットバラー,チャリオットハラー,ヴィークル,〈運転:馬〉,13,13,−1,,6,6,200m,200,購入不可,,不可,,,,,勇将を乗せて山野を越えた騎乗動物。あなたの招きに応じ現われる。,あなたは《戦術》を1レベルで取得する。このエフェクトは取得に経験点は必要なく、経験点を使用して成長できる。,契約者は代償として速さを追求するようになる。侵蝕率基本値に+3する。,,,,,LM-チャリオットバラー,EA-戦術,,,,,,LM-遺産継承者 HR-遺産の器,999
IA-スカイキッド,IA,FHアイテム,スカイキッド,スカイキット,ヴィークル,〈知識:機械操作〉,0,0,0,0,0,0,解説参照,,購入不可,,5,5,,,,FHが開発した、個人用のジェット噴出器。精密に運用するには専門知識が必要となる。,あなたは飛行状態となり、このヴィークルの全力移動はあなたの全力移動と同じとなる。さらに、あなたが行なう戦闘移動に+5mする。ただし、このヴィークルに同乗状態になれない。搭載火器は装備不可。,,,,,,PE-スカイキッド,,,,,,,,5
IA-FHブレードバイク,IA,FHアイテム,FHブレードバイク,FHフレートハイク,ヴィークル,〈運転:二輪〉,12,12,−1,,—,0,200m,200,購入不可,,8,8,,,,FHが開発した、車体の細さが特徴的なバイク。扱いやすさを重視している。,あなたが行なう戦闘移動に+10mする。,,,,,,PE-FHブレードバイク,,,,,,,,8
IA-FHライトバン,IA,FHアイテム,FHライトバン,FHライトハン,ヴィークル,〈運転:四輪〉,8,8,−5,,10,10,120m,120,購入不可,,10,10,,,,FHが開発した貨物自動車。銃撃戦に巻き込まれても耐えられるだけの防御力を重視している。,,,,,,,PE-FHライトバン,,,,,,,,10
IA-オルトロス,IA,FHアイテム,オルトロス,オルトロス,ヴィークル,〈運転:多脚戦車〉,20,20,−5,,15,15,120m,120,購入不可,,40,40,,,,強化されたオーヴァード用に開発された試作多脚戦車。,あなたが行なう〈RC〉による攻撃の判定の達成値に+10する。このヴィークルは“精神強化手術”を3つ取得しているキャラクターのみ使用できる。,,,,,,HR-オルトロス,,,,,,HR-精神強化手術,,40
IA-スチールギガント,IA,FHアイテム,スチールギガント,スチールキカント,ヴィークル,〈運転:多脚戦車〉,20,20,−10,,20,20,120m,120,購入不可,,50,50,,,,FHが開発した、全長20メートルを超える多脚戦車。,あなたはこのヴィークルと、搭載火器のみ武器として使用できる。レアアイテム。,,,,,,PE-スチールギガント,,,,,,,,50
IA-コマンドモービル,IA,エンブレムアイテム:UGN支部長,コマンドモービル,コマントモーヒル,エンブレム/ヴィークル,〈運転:四輪〉,12,12,−3,,15,15,180m,180,,,,,30,30,,選ばれた支部長にのみ、乗ることが許される特殊装甲車両。,セットアッププロセスで使用する。あなたはこのアイテムを呼び、搭乗状態となる。また、あなた以外が判定を行なう直前に使用する。その判定のダイスに+3個する。この効果は1シナリオに3回まで使用できる。,,,,,,UG-コマンドモービル,,,,,,,,30
IA-UGNジェットバイク,IA,エンブレムアイテム:UGN共通,UGNジェットバイク,UGNシェットハイク,エンブレム/ヴィークル,〈運転:二輪〉,8,8,−2,,4,4,200m,200,,,,,20,20,,UGNが開発したジェットブースター内蔵バイク。ブースター噴出口を操作することで短時間の飛行も可能。,戦闘移動の直前に使用する。その移動の間、あなたは飛行状態となる。この効果は1シーンに1回まで使用できる。,,,,,,,,,,,,,,20
IA-テクニカル,IA,エンブレムアイテム:鴻央会,テクニカル,テクニカル,エンブレム/ヴィークル,〈運転:四輪〉,6,6,−5,,6,6,100m,100,,,,,15,15,,組同士の抗争で使用する、武装を施したピックアップトラック。,あなたの戦闘移動に+20mする。また、搭乗時にあなたに“グレネードランチャー”ひとつを装備してもよい。,,,,,,UG-テクニカル,,,,,,,,15
IA-ジャガンナートタンク,IA,エンブレムアイテム:ステイト・オブ・グレイス,ジャガンナートタンク,シャカンナートタンク,エンブレム/ヴィークル,〈RC〉,15,15,−10,,25,25,40m,40,,,,,50,50,,闇ルートで調達した戦車をオーヴァード用に改造した特殊車両。オーヴァードの意思によってコントロールすることができる。,このヴィークルを使用する判定には「技能:〈運転:~~〉」のエフェクトを組み合わせることができる。また、このヴィークルによって【行動値】が0未満になった場合、【行動値】1となる。,,,,,,,,,,,,,,50
IA-重装甲トラック,IA,エンブレムアイテム:ストレンジャーズ,重装甲トラック,シュウソウコウトラック,エンブレム/ヴィークル,〈運転:四輪〉,4,4,−6,,12,12,100m,100,,,,,15,15,,ストレンジャーズが一般市街地での作戦行動で使用するトラック。外見は市販の業務用トラックだが、内部は兵員輸送車となっており、兵士一個分隊(8人)を搭乗させられる。,,,,,,,UG-重装甲トラック,,,,,,,,15
IA-特S式装甲車両,IA,エンブレムアイテム:ストレンジャーズ,特S式装甲車両,トクSシキソウコウシャリョウ,エンブレム/ヴィークル,〈運転:四輪〉,9,9,−2,,10,10,100m,100,,,,,25,25,,ストレンジャーズに配備されている装輪式の装甲車。さまざまな兵装を銃座に据え付け運用可能。,あなたが装備している「種別:射撃」の武器すべてを「命中:0」に変更する。,,,,,,,,,,,,,,25
IA-幽霊タクシー,IA,エンブレムアイテム:ゼノス,幽霊タクシー,ユウレイタクシー,エンブレム/ヴィークル,〈交渉〉,5,5,−5,,5,5,100m,100,,,,,15,15,,都市伝説を起源とするレネゲイドビーイングのタクシー。運転手はいないが、行き先を伝えれば自動で走る。,あなたは《ハンティングスタイル》を1レベルで取得しているものとして扱う。この《ハンティングスタイル》は侵蝕率によるレベルアップの影響を受けない。,,,,,,UG-幽霊タクシー,EA-ハンティングスタイル,,,,,,,15
IA-翼持つ友,IA,エンブレムアイテム:ゼノス,翼持つ友,ツハサモツトモ,エンブレム/ヴィークル,〈運転:騎乗動物〉,5,5,−2,,0,0,30m,30,,,,,20,20,,ゼノスに協力する飛行能力を持つEXオーヴァードの騎乗動物。いつでも呼び出すことができ、あなたに従う。,あなたと同乗者は飛行状態となる。,,,,,,,,,,,,,,20
IA-スカードエンジェル,IA,エンブレムアイテム:フリーランス,スカードエンジェル,スカートエンシェル,エンブレム/ヴィークル,〈運転:二輪〉,8,8,4,4,4,4,250m,250,,,,,15,15,,不良やギャング、裏社会の人間の間で伝説として語られるカスタムバイク。,あなたが行なう攻撃の攻撃力に+4する。このヴィークルは〈運転:二輪〉4レベル以上でないと搭乗できない。,,,,,,,,,,,,,,15
UA-アーキタイプ:車両,UA,エフェクトアイテム:神殺す刃専用アイテム,アーキタイプ:車両,アーキタイフシャリョウ,ヴィークル/アーキタイプ,解説参照,13,13,0,0,12,12,250m,250,購入不可,,不可,,,,,《神殺す刃》によって生み出されたバイクや自動車のデータ。,作成時に〈運転:二輪〉か〈運転:四輪〉を選択する。また、このヴィークルの攻撃力と装甲値に+[LV]する。,,,,,,,UA-神殺す刃,,,,,,,999
UA-アーキタイプ:装甲兵器,UA,エフェクトアイテム:神殺す刃専用アイテム,アーキタイプ:装甲兵器,アーキタイフソウコウヘイキ,ヴィークル/アーキタイプ,解説参照,15,15,−3,,20,20,50m,50,購入不可,,不可,,,,,《神殺す刃》によって生み出された乗り込み式の巨大兵器。圧倒的な装甲で敵を蹂躙する神殺しの武器のアーキタイプ。,取得時にこのヴィークルの技能判定の〈運転:~~〉の分野を決定する。また、LV個までの搭載火器を装備できる。,,,,,,,UA-神殺す刃,,,,,,,999
