id,q,a,refed_power_id,refed_weapon_id,refed_armor_id,refed_vehicle_id,refed_connection_id,refed_general_id,refed_dlois_id,refed_elois_id
102,PDWで攻撃の対象を「範囲(選択)」に変更した後、「対象:単体」のエフェクトを使用しました。攻撃の対象はどうなりますか？,「対象:単体」になります。アイテムの効果よりエフェクトの組み合わせルールを優先してください。ただしエフェクトを組み合わせた結果、「対象:—」だった場合のみアイテムの効果を優先します。,,基本2-スタングレネード 基本2-ベノムグレネード 基本2-グレネードランチャー 基本2-PDW PE-ラピッドファイア IC-フラググレネード IC-大型擲弾砲 IC-マスエフェクト EA-インプラントミサイル HR-閃光の刃 NC-火炎ビン NC-小型ロケットランチャー NC-銃迫撃砲 NC-ミニガン NC-クリムゾンブリーチ IA-スタングレネード IA-ベノムグレネード IA-小型ロケットランチャー IA-フラググレネード IA-グレネードランチャー IA-PDW IA-大型擲弾砲 IA-銃迫撃砲,,,,,,
103,チェーンガンのように、搭乗状態のみ装備や使用ができる武器を、同乗状態のキャラクターが使用できますか？,できません。ただし、GMが認めれば可能とします。,,基本2-チェーンガン PE-ヴィークル用レールキャノン IC-大型擲弾砲 NC-車載機関銃 NC-レーザーランチャー NC-大口径機関砲 NC-銃迫撃砲 NC-ミニガン IA-三連パイルバンカー IA-車載機関銃 IA-レーザーランチャー IA-ヘヴィマシンガン IA-大型擲弾砲 IA-チェーンガン IA-大口径機関砲 IA-銃迫撃砲 IA-ミニガン ,,,,,,
104,武器の効果で【行動値】が減少する際、修正後に0未満になっても装備できますか？,できません。武器を装備することで【行動値】が0未満になる場合、装備できないものとします。,,上級-レイジングブレイド PE-トツカ LM-レイジングブレイド NC-ポールアーム NC-アンチレネゲイドシールド NC-試作レーザーランチャー IA-ポールアーム IA-アンチレネゲイドシールド IA-試作レーザーランチャー IA-レイジングブレイド IA-トツカ,,,,,,
105,《サイバーアーム》や「完全義体」のような、常に素手のデータを変更するアイテムの効果を受けているキャラクターが、《破壊の爪》のような素手のデータを変更するエフェクトを使用した場合、素手のデータはどうなりますか？,後から使用した、素手のデータを変更するエフェクトの効果のみを適用してください。この際、アイテムの効果は失われます。,基本2-サイバーアーム EA-サイバーアーム IA-サイバーアーム,上級-完全義体 HR-強化義体 IA-完全義体 IA-銀色の腕 IA-強化義体 IA-修羅の拳,,,,,,
106,「コネ:警察幹部」を使用した判定に、「コネ:警察OB」を使用して振り直すことはできますか？,できません。,,,,,IC-UGN諜報部 IC-警察OB IC-コンサルタント IC-情報掲示板 IC-スクワッター IC-大学教授 IC-フリー記者 IC-ブロガー,,,
107,「原初の混沌」や「ハイキャッスル」などの効果で武器や防具、ヴィークルを入手した場合、即座に装備したり搭乗状態になることができますか？,可能です。,,,,,,IC-原初の混沌 UG-エヴリシングレディ UG-ハイキャッスル IA-原初の混沌 IA-エヴリシングレディ IA-†ハイキャッスル,,
108,〈運転〉技能や《ヘヴィギャロップ》を使用してヴィークルで攻撃した場合、攻撃に使用した武器を参照するデータはどのように処理を行えばよいですか？,ヴィークルで攻撃を行なった場合、使用したヴィークルを武器として処理を行なってください。たとえば、もし《ギガンティックモード》を組み合わせていた場合、攻撃後にヴィークルは破壊されます。,,,,,,,,
109,リニアヴィークルによる〈RC〉を使用した白兵攻撃に、《雷の槍》のような射撃攻撃を行なうエフェクトを組み合わせることはできますか？,できません。,,,,IC-リニアヴィークル IA-リニアヴィークル,,,,
110,『エフェクトアーカイブ』を導入した場合、錬金秘本の効果はどうなりますか？,錬金秘本の効果の「+[LV×3]から+[LV×5]に変更される」を、「+[LV×10]から+[LV×15]に変更される」に変換してください。,,,,,,IC-錬金秘本,,
111,エンブレムデータ“最強の一振り”で選択した武器を複数装備した場合、武器の攻撃力はどうなりますか？,装備しているすべての武器の攻撃力を修正してください。,,,,,,UG-最強の一振り IA-最強の一振り,,
112,暴走剣を装備したキャラクターが、自傷のアージエフェクトを持っていた場合、どのように処理すればよいですか？,装備した際に変異暴走の効果を適用し、バッドステータスの暴走を回復してください。以降、暴走剣によるバッドステータスの暴走は、もう一度暴走剣を装備するまで受けません。,,,,,,,,
113,カスタマイズアイテムの効果でエフェクトアイテムを指定した際、《ダブルクリエイト》などで改造元アイテムを複数作成する場合、“エンチャント”などの効果をそれぞれに適用することはできますか？,できません。そのような場合、作成したアイテムのうちひとつを選択してカスタマイズアイテムの効果を適用してください。ただし、GMは“デコ”のようなデータ上の効果が存在しないものについてはすべてのアイテムに効果を適用することを認めても構いません。,EA-ダブルクリエイト,,,,,UA-双刃のイデア,,
114,カスタマイズアイテムの効果でエフェクトアイテムを指定した場合、“エピック”の効果は武器を複数作成したり、新たに作成したりした場合、その武器ごとに使用できますか？,できません。“エピック”のように使用回数に制限のあるものは、作成したエフェクトアイテム全体で使用回数制限を共有するものとして処理してください。,,,,,,IA-エピック IA-変身素材 IA-フライングユニット,,
115,能力値を0から1に成長させる場合、経験点は何点必要ですか？,10点とします。,,,,,,,,
116,エフェクトの新規取得によって侵蝕率基本値が上昇するエフェクトをメインプレイ中に取得した場合、侵蝕率の現在の値も上昇しますか？,現在の侵蝕率も増加するものとします。,,,,,,,,
117,装甲値やガード値は0未満になりますか？,なりません。装甲値やガード値は、0未満にならないものとします。,,,,,,,,
118,ジュラルミンシールドと拳銃のように、「種別:白兵」と「種別:射撃」の武器を同時に装備していた場合、命中判定の修正はどうなりますか？,装備している武器の命中判定への修正は、すべて合計してください。,,,,,,,,
119,硬直などで全力移動や戦闘移動が行なえない場合、エンゲージからの離脱で移動は可能ですか？,できません。戦闘移動と全力移動が両方とも行なえない場合、離脱も行なえないものとします。,,,,,,,,
120,《鋼の馬》《エースドライバー》を組み合わせた判定で、ドッジを行なえますか？,できません。,,,,,,,,
121,邪毒を受けているキャラクターが、別の邪毒を受けた場合、どうなりますか？,もっともランクの高い邪毒ひとつのみを適用し、他の効果は無視してください。,,,,,,,,
122,憎悪を受けているキャラクターが、憎悪の対象を含むように、「対象:範囲(選択)」や「対象:シーン(選択)」の攻撃を行なってもよいのでしょうか？,可能です。,,,,,,,,
123,隠密状態でマイナーアクションやメジャーアクションを行なった場合、具体的にはいつ隠密状態が解除されますか？,アクションの処理を行なった後、隠密状態を解除してください。,,,,,,,,
124,ヴィークルに搭乗状態のキャラクターが、〈運転:●●〉でドッジを行なえますか？,できません。,,,,,,,,
125,飛行状態のキャラクターが、飛行状態ではないキャラクターのいるエンゲージから離脱を行なった際、別のエンゲージに移動できますか？,できません。,,,,,,,,
126,「Dロイス:超血統」を取得したキャラクターが、《リザレクト》《ワーディング》《コンセントレイト》《リフレックス》以外の一般エフェクトをDロイスの取得前に取得していた場合、使用できますか？,使用できないものとします。,,,,,,,上級-超血統 LM-超血統,
127,「Dロイス:古代種」の《フラットシフト》や「Dロイス:調和者」で、エフェクトの効果本文に書かれた侵蝕値の上昇も0にできますか？,できません。《フラットシフト》や「Dロイス:調和者」はエフェクトの項目である「侵蝕値:●」と書かれた数字のみを0にします。,上級-フラットシフト RU-蝕命の魔眼 LM-フラットシフト,,,,,,IC-調和者 LM-調和者,
128,「Dロイス:亜純血」を取得したキャラクターが、その効果で選択しなかったシンドロームの「制限:100%」のエフェクトをDロイスの取得前に取得していた場合、使用できますか？,使用できないものとします。,,,,,,,上級-亜純血 LM-亜純血,
129,「Dロイス:野獣本能」を取得したキャラクターが、「タイミング:マイナーアクション」のキュマイラのエフェクトを「タイミング:セットアッププロセス」として使用した場合、他の「タイミング:セットアッププロセス」のエフェクトと組み合わせることができますか？,技能など、組み合わせの条件を満たしていれば可能です。この時、複数の「タイミング:マイナーアクション」のキュマイラのエフェクトを「タイミング:セットアッププロセス」として組み合わせてもかまいません。,,,,,,,上級-野獣本能 上級-野獣本能,
130,「Dロイス:野獣本能」の効果でキュマイラのエフェクトを複数組み合わせた場合、「Dロイス:野獣本能」による侵蝕率の上昇は、どのように処理しますか？,組み合わせの処理を終えた後、1回だけ適用してください。つまり、複数のキュマイラのエフェクトを組み合わせても、「Dロイス:野獣本能」による侵蝕率の上昇は1回しか行ないません。,,,,,,,上級-野獣本能 上級-野獣本能,
131,「Dロイス:装着者」で取得したアイテムを、プリプレイに変更できますか？,できません。ただし、GMが認めれば変更可能とします。,,,,,,,PE-装着者 PE-装着者,
132,「Dロイス:神速の担い手」の《スピードスター》の効果では、このエフェクトを使用した時と攻撃を行なった時、どちらの時点の【行動値】を参照するのでしょうか？,《スピードスター》を使用した時点での【行動値】を参照します。,上級-スピードスター LM-スピードスター,,,,,,,
